Speaker: Simeón
  Tier Type: po, Annotations Count: 680
    Time Stamp: ("'ts1079'", "'ts1080'"), Annotation: cierto
    Time Stamp: ("'ts1081'", "'ts1082'"), Annotation: sisa
    Time Stamp: ("'ts1083'", "'ts1084'"), Annotation: plantacionllu
    Time Stamp: ("'ts1087'", "'ts1089'"), Annotation: haaaa
    Time Stamp: ("'ts1107'", "'ts1108'"), Annotation: pero
    Time Stamp: ("'ts1109'", "'ts1111'"), Annotation: pero
    Time Stamp: ("'ts1110'", "'ts1112'"), Annotation: propio kaymandachu kangi
    Time Stamp: ("'ts1118'", "'ts1120'"), Annotation: nacishka
    Time Stamp: ("'ts1121'", "'ts1122'"), Annotation: tayta, mama
    Time Stamp: ("'ts1123'", "'ts1125'"), Annotation: abuelokunapash
    Time Stamp: ("'ts1126'", "'ts1129'"), Annotation: kaymanda
    Time Stamp: ("'ts1134'", "'ts1136'"), Annotation: mm j
    Time Stamp: ("'ts1147'", "'ts1148'"), Annotation: ha
    Time Stamp: ("'ts1149'", "'ts1150'"), Annotation: cierto
    Time Stamp: ("'ts1151'", "'ts1152'"), Annotation: kaypi ima familiakuna tian
    Time Stamp: ("'ts1153'", "'ts1154'"), Annotation: ima apellidokuna
    Time Stamp: ("'ts1163'", "'ts1165'"), Annotation: Tutillo
    Time Stamp: ("'ts1167'", "'ts1168'"), Annotation: ha ja
    Time Stamp: ("'ts1169'", "'ts1170'"), Annotation: shukuna
    Time Stamp: ("'ts1171'", "'ts1172'"), Annotation: Toa
    Time Stamp: ("'ts1173'", "'ts1174'"), Annotation: Toapanta
    Time Stamp: ("'ts1175'", "'ts1176'"), Annotation: nachu
    Time Stamp: ("'ts1184'", "'ts1186'"), Annotation: Topanta
    Time Stamp: ("'ts1187'", "'ts1188'"), Annotation: shug
    Time Stamp: ("'ts1189'", "'ts1190'"), Annotation: shug apellidokuna
    Time Stamp: ("'ts1199'", "'ts1200'"), Annotation: Kawiñas
    Time Stamp: ("'ts1203'", "'ts1204'"), Annotation: pero uchilla kashpaka
    Time Stamp: ("'ts1205'", "'ts1206'"), Annotation: kaypi kausarkangichu
    Time Stamp: ("'ts1208'", "'ts1209'"), Annotation: shina
    Time Stamp: ("'ts1215'", "'ts1216'"), Annotation: mmm
    Time Stamp: ("'ts1217'", "'ts1218'"), Annotation: tayta mama
    Time Stamp: ("'ts1219'", "'ts1220'"), Annotation: kay , kay puestopi
    Time Stamp: ("'ts1225'", "'ts1226'"), Annotation: shitarkani
    Time Stamp: ("'ts1227'", "'ts1228'"), Annotation: kaykunata
    Time Stamp: ("'ts1229'", "'ts1230'"), Annotation: (asin)
    Time Stamp: ("'ts1231'", "'ts1232'"), Annotation: shitarkani
    Time Stamp: ("'ts1235'", "'ts1236'"), Annotation: alverjat
    Time Stamp: ("'ts1239'", "'ts1240'"), Annotation: alverja
    Time Stamp: ("'ts1245'", "'ts1246'"), Annotation: imata shinajungi
    Time Stamp: ("'ts1247'", "'ts1248'"), Annotation: kay alverjasguan
    Time Stamp: ("'ts1249'", "'ts1250'"), Annotation: mikungapachu
    Time Stamp: ("'ts1257'", "'ts1258'"), Annotation: yaaa
    Time Stamp: ("'ts1271'", "'ts1272'"), Annotation: ya
    Time Stamp: ("'ts1275'", "'ts1276'"), Annotation: kunan imata tarpuna yachangi
    Time Stamp: ("'ts1279'", "'ts1280'"), Annotation: quinua
    Time Stamp: ("'ts1281'", "'ts1282'"), Annotation: ari rrikurkanimi
    Time Stamp: ("'ts1295'", "'ts1296'"), Annotation: mikungapalla
    Time Stamp: ("'ts1297'", "'ts1298'"), Annotation: miku
    Time Stamp: ("'ts1299'", "'ts1301'"), Annotation: ooooooooooooohh
    Time Stamp: ("'ts1302'", "'ts1304'"), Annotation: jatungapa
