Speaker: SIMEON A
  Tier Type: po, Annotations Count: 720
    Time Stamp: ("'ts1629'", "'ts1630'"), Annotation: chaykunaman
    Time Stamp: ("'ts1648'", "'ts1650'"), Annotation: na
    Time Stamp: ("'ts1651'", "'ts1653'"), Annotation: parlanchu
    Time Stamp: ("'ts1661'", "'ts1664'"), Annotation: maypi tian
    Time Stamp: ("'ts1665'", "'ts1668'"), Annotation: kichua
    Time Stamp: ("'ts1669'", "'ts1671'"), Annotation: parlan
    Time Stamp: ("'ts1688'", "'ts1690'"), Annotation: ugshaman
    Time Stamp: ("'ts1701'", "'ts1702'"), Annotation: ha ha
    Time Stamp: ("'ts1719'", "'ts1721'"), Annotation: yaaaa
    Time Stamp: ("'ts1722'", "'ts1726'"), Annotation: mishukuna
    Time Stamp: ("'ts1729'", "'ts1731'"), Annotation: gringokuna
    Time Stamp: ("'ts1738'", "'ts1740'"), Annotation: oooo
    Time Stamp: ("'ts1741'", "'ts1742'"), Annotation: tan
    Time Stamp: ("'ts1743'", "'ts1744'"), Annotation: chaypichu
    Time Stamp: ("'ts1770'", "'ts1772'"), Annotation: ha ja
    Time Stamp: ("'ts1773'", "'ts1775'"), Annotation: chumillas
    Time Stamp: ("'ts1776'", "'ts1779'"), Annotation: (.................)
    Time Stamp: ("'ts1787'", "'ts1788'"), Annotation: yaaaa
    Time Stamp: ("'ts1789'", "'ts1790'"), Annotation: chaypash
    Time Stamp: ("'ts1791'", "'ts1792'"), Annotation: maskanakani
    Time Stamp: ("'ts1793'", "'ts1796'"), Annotation: ñuka
    Time Stamp: ("'ts1799'", "'ts1800'"), Annotation: asin
    Time Stamp: ("'ts1818'", "'ts1820'"), Annotation: aaaaaa
    Time Stamp: ("'ts1821'", "'ts1823'"), Annotation: risgsini
    Time Stamp: ("'ts1824'", "'ts1827'"), Annotation: (.................)
    Time Stamp: ("'ts1845'", "'ts1846'"), Annotation: ñuka
    Time Stamp: ("'ts1847'", "'ts1848'"), Annotation: compadrekunata
    Time Stamp: ("'ts1849'", "'ts1850'"), Annotation: charini
    Time Stamp: ("'ts1851'", "'ts1852'"), Annotation: Zumbaguapi
    Time Stamp: ("'ts1856'", "'ts1858'"), Annotation: ari
    Time Stamp: ("'ts1859'", "'ts1860'"), Annotation: shug achiguagua
    Time Stamp: ("'ts1861'", "'ts1862'"), Annotation: charini
    Time Stamp: ("'ts1863'", "'ts1864'"), Annotation: chaypi
    Time Stamp: ("'ts1876'", "'ts1878'"), Annotation: chaypi
    Time Stamp: ("'ts1879'", "'ts1880'"), Annotation: kayarkani
    Time Stamp: ("'ts1881'", "'ts1882'"), Annotation: ña
    Time Stamp: ("'ts1883'", "'ts1884'"), Annotation: kichuata
    Time Stamp: ("'ts1885'", "'ts1887'"), Annotation: yachakuyta
    Time Stamp: ("'ts1890'", "'ts1893'"), Annotation: Zumbaguapi
    Time Stamp: ("'ts1899'", "'ts1900'"), Annotation: ari
    Time Stamp: ("'ts1901'", "'ts1902'"), Annotation: pero shug
    Time Stamp: ("'ts1903'", "'ts1904'"), Annotation: parla
    Time Stamp: ("'ts1905'", "'ts1906'"), Annotation: chaiki
    Time Stamp: ("'ts1907'", "'ts1908'"), Annotation: Otavaloman
    Time Stamp: ("'ts1909'", "'ts1910'"), Annotation: rrirkani
    Time Stamp: ("'ts1911'", "'ts1913'"), Annotation: shug parrla
    Time Stamp: ("'ts1922'", "'ts1925'"), Annotation: ari
    Time Stamp: ("'ts1929'", "'ts1931'"), Annotation: ari
    Time Stamp: ("'ts1942'", "'ts1945'"), Annotation: uraaa
    Time Stamp: ("'ts1955'", "'ts1956'"), Annotation: y
    Time Stamp: ("'ts1957'", "'ts1958'"), Annotation: kaypi
    Time Stamp: ("'ts1959'", "'ts1960'"), Annotation: imashnaaaaa
    Time Stamp: ("'ts1961'", "'ts1962'"), Annotation: kichua
    Time Stamp: ("'ts1963'", "'ts1964'"), Annotation: llagtakuna
    Time Stamp: ("'ts1965'", "'ts1966'"), Annotation: tian
    Time Stamp: ("'ts1967'", "'ts1968'"), Annotation: mashna rruna llagtakuna
    Time Stamp: ("'ts1969'", "'ts1971'"), Annotation: Oyacoto
    Time Stamp: ("'ts1978'", "'ts1980'"), Annotation: San Miguel
    Time Stamp: ("'ts1981'", "'ts1983'"), Annotation: chay
    Time Stamp: ("'ts1985'", "'ts1987'"), Annotation: Tablon
    Time Stamp: ("'ts2021'", "'ts2023'"), Annotation: como
    Time Stamp: ("'ts2035'", "'ts2036'"), Annotation: yaaaa
    Time Stamp: ("'ts2043'", "'ts2044'"), Annotation: sinama
    Time Stamp: ("'ts2067'", "'ts2068'"), Annotation: ari
    Time Stamp: ("'ts2125'", "'ts2126'"), Annotation: ari
    Time Stamp: ("'ts2127'", "'ts2129'"), Annotation: Quinchipi
    Time Stamp: ("'ts2151'", "'ts2152'"), Annotation: kaybi
