Speaker: mujer 1.1
  Tier Type: po, Annotations Count: 293
    Time Stamp: ("'ts1033'", "'ts1035'"), Annotation: kayanlla rrishpaka amniuiriashpa ufyadurmi karka º
    Time Stamp: ("'ts1037'", "'ts1038'"), Annotation: ufyadurmi karka
    Time Stamp: ("'ts1043'", "'ts1044'"), Annotation: mmm na chariichu kunanga
    Time Stamp: ("'ts1047'", "'ts1048'"), Annotation: vakuna tyarka  apyala kashna abnimal  apay nirka ñúkallaka na uyashpa
    Time Stamp: ("'ts1049'", "'ts1050'"), Annotation: wawki tyan chimba bosquepi kawsan
    Time Stamp: ("'ts1051'", "'ts1052'"), Annotation: shuyachita shuwachishkia yarirka  paylataka  apay nirkan pero ima ushashpachu apamushayari jatun ishkay payla vali karka
    Time Stamp: ("'ts1053'", "'ts1055'"), Annotation: chaytaka  shs h
    Time Stamp: ("'ts1056'", "'ts1059'"), Annotation: chay paylaka budata yanungapa karka  a shina chochos  mote pilangapa
    Time Stamp: ("'ts1061'", "'ts1062'"), Annotation: shinami karka
    Time Stamp: ("'ts1064'", "'ts1067'"), Annotation: aaa kutana  rrumnitaka charinimi
    Time Stamp: ("'ts1069'", "'ts1071'"), Annotation: chaypi uraysingariajunmi
    Time Stamp: ("'ts1072'", "'ts1073'"), Annotation: ñana kutanichu
    Time Stamp: ("'ts1075'", "'ts1078'"), Annotation: mmmm na
    Time Stamp: ("'ts1082'", "'ts1083'"), Annotation: aaa puilupi tyan molino aaa
    Time Stamp: ("'ts1085'", "'ts1087'"), Annotation: punda tyan karka dieselwan kutak molino  kunanga a luz tyan
    Time Stamp: ("'ts1088'", "'ts1090'"), Annotation: a chaypi matsikapa chikan harinapa chikan ishkay molino tyan chaypillata
    Time Stamp: ("'ts1091'", "'ts1093'"), Annotation: m mm
    Time Stamp: ("'ts1094'", "'ts1095'"), Annotation: Olmedopi tyan
    Time Stamp: ("'ts1096'", "'ts1098'"), Annotation: Olmedopin tyan
    Time Stamp: ("'ts1099'", "'ts1100'"), Annotation: m mm
    Time Stamp: ("'ts1105'", "'ts1106'"), Annotation: tayta kawsashpa butan karka
    Time Stamp: ("'ts1107'", "'ts1108'"), Annotation: kangunata autuka pitanga cada rratu kaypimi pedan pitan nishpa .... illan na tyanllu
    Time Stamp: ("'ts1109'", "'ts1110'"), Annotation: kutimba na tyan
    Time Stamp: ("'ts1111'", "'ts1113'"), Annotation: nooo
    Time Stamp: ("'ts1115'", "'ts1116'"), Annotation: no hay plata
    Time Stamp: ("'ts1118'", "'ts1120'"), Annotation: kulki illan
    Time Stamp: ("'ts1122'", "'ts1127'"), Annotation: (risa) jajajajaja
    Time Stamp: ("'ts1130'", "'ts1135'"), Annotation: otavalo payshnallata
    Time Stamp: ("'ts1136'", "'ts1137'"), Annotation: m mm
    Time Stamp: ("'ts1138'", "'ts1142'"), Annotation: chalinata jatun rruanata jatun chalina nin
    Time Stamp: ("'ts1145'", "'ts1147'"), Annotation: mmm
    Time Stamp: ("'ts1148'", "'ts1150'"), Annotation: a aa
