Speaker: Mujer Joven
  Tier Type: po, Annotations Count: 195
    Time Stamp: ("'ts1298'", "'ts1303'"), Annotation: shamupay mama shamun mamita kaypi tiari nini
    Time Stamp: ("'ts1350'", "'ts1353'"), Annotation: yaykumuylla nikpika culicincia pasanchi nin
    Time Stamp: ("'ts1359'", "'ts1361'"), Annotation: maki japisha chayanchi
    Time Stamp: ("'ts1375'", "'ts1377'"), Annotation: mayman rijungui
    Time Stamp: ("'ts1396'", "'ts1401'"), Annotation: ya ya parlashun parlashun
    Time Stamp: ("'ts1433'", "'ts1438'"), Annotation: avena ñukanchi mikuna avena
    Time Stamp: ("'ts1443'", "'ts1449'"), Annotation: cebadash tukunchu chayman
    Time Stamp: ("'ts1462'", "'ts1465'"), Annotation: padrino kunukpi kawsangui nachu
    Time Stamp: ("'ts1477'", "'ts1478'"), Annotation: ah shinaka kaypilayallata kay ecuadurpi shinallata
    Time Stamp: ("'ts1484'", "'ts1486'"), Annotation: rupay kaypish jiwakunami animalpa chakirin
    Time Stamp: ("'ts1487'", "'ts1488'"), Annotation: y illan (...)
    Time Stamp: ("'ts1489'", "'ts1491'"), Annotation: habasma illita anguyan
    Time Stamp: ("'ts1505'", "'ts1507'"), Annotation: taytaka imashna wata charin
    Time Stamp: ("'ts1509'", "'ts1511'"), Annotation: padrino tayta mama
    Time Stamp: ("'ts1515'", "'ts1517'"), Annotation: Ñuka abuelawan cazi igual kashka
    Time Stamp: ("'ts1525'", "'ts1528'"), Annotation: Chayrichu kan
    Time Stamp: ("'ts1531'", "'ts1534'"), Annotation: apamunguimanga ñukata riksichingui padrino
    Time Stamp: ("'ts1541'", "'ts1543'"), Annotation: Kunanga ñalla estadus (...)
    Time Stamp: ("'ts1564'", "'ts1567'"), Annotation: ñala charinga
    Time Stamp: ("'ts1573'", "'ts1575'"), Annotation: karuchu
    Time Stamp: ("'ts1583'", "'ts1584'"), Annotation: rikujunalla padrinuta yallikunalla wawkikuna
    Time Stamp: ("'ts1586'", "'ts1589'"), Annotation: mas kullki achika charinakunchu
    Time Stamp: ("'ts1596'", "'ts1599'"), Annotation: kambuk tayta mama wasipichu kawsanajun
    Time Stamp: ("'ts1600'", "'ts1602'"), Annotation: paykunaka ñana ima trabajan jubilashkalla
    Time Stamp: ("'ts1604'", "'ts1606'"), Annotation: shina suelduwan no
    Time Stamp: ("'ts1609'", "'ts1610'"), Annotation: ari kaypipash tiyan pero imash trabajuta charishka kasha
    Time Stamp: ("'ts1611'", "'ts1612'"), Annotation: ñukanchika na ñukanchika abuelawan mana na estudiashka nima
    Time Stamp: ("'ts1615'", "'ts1618'"), Annotation: kuata na estudiachishka tayta mama llama michik charishaka nima
    Time Stamp: ("'ts1619'", "'ts1620'"), Annotation: na ima trabaju charishka na jubilashkash kani nima
    Time Stamp: ("'ts1621'", "'ts1625'"), Annotation: na jubilashka yuyakkama shina ñuka abuilawan trabajashpa
    Time Stamp: ("'ts1629'", "'ts1631'"), Annotation: japinajun mamita ñuka abuiluwan
    Time Stamp: ("'ts1633'", "'ts1634'"), Annotation: ima kachiwan wirawan gas tanquita randingapa Saquisilima
    Time Stamp: ("'ts1649'", "'ts1651'"), Annotation: chaymanda japin mamita chaywan kachiwan virawan
    Time Stamp: ("'ts1653'", "'ts1654'"), Annotation: ari shina shina ñuka abuilaka tiyan
    Time Stamp: ("'ts1656'", "'ts1658'"), Annotation: kaypi ñuka papitu yuyaylla kawsan ñuka abuilata  rikun
    Time Stamp: ("'ts1659'", "'ts1660'"), Annotation: shuk wawakunata (...)
    Time Stamp: ("'ts1662'", "'ts1665'"), Annotation: ima rikun ñuka tiya ñuka papitu
    Time Stamp: ("'ts1666'", "'ts1668'"), Annotation: kaypi tiyan ñuka tia ñuka abuilawata kuidasha
    Time Stamp: ("'ts1669'", "'ts1670'"), Annotation: pay (...)sasha kaypi tiyan
    Time Stamp: ("'ts1671'", "'ts1672'"), Annotation: (No se entiende)
    Time Stamp: ("'ts1673'", "'ts1674'"), Annotation: dirripinti shamushalla shamunakun
    Time Stamp: ("'ts1676'", "'ts1678'"), Annotation: shuk punlla visitaman rinakunlla
    Time Stamp: ("'ts1679'", "'ts1680'"), Annotation: allichina
    Time Stamp: ("'ts1681'", "'ts1683'"), Annotation: (No se entiende)
    Time Stamp: ("'ts1707'", "'ts1708'"), Annotation: yayituka kayllapitaka  llulla Alijandra
    Time Stamp: ("'ts1713'", "'ts1714'"), Annotation: shina mamita ñuka rikkrinimi imawraka vultamushami
    Time Stamp: ("'ts1715'", "'ts1716'"), Annotation: chayshuk semanakuna ñuka mamitata
    Time Stamp: ("'ts1717'", "'ts1718'"), Annotation: rikkrinim mamita
    Time Stamp: ("'ts1727'", "'ts1729'"), Annotation: diosolopagui nin mamita venga venda
    Time Stamp: ("'ts1731'", "'ts1732'"), Annotation: shuyay shuyay
    Time Stamp: ("'ts1733'", "'ts1735'"), Annotation: ñuka abueluta grabangui
    Time Stamp: ("'ts1743'", "'ts1744'"), Annotation: imachari japimu rik
    Time Stamp: ("'ts1749'", "'ts1751'"), Annotation: nachu mikunguichi
    Time Stamp: ("'ts1753'", "'ts1755'"), Annotation: maimita shamuy shamuy agradecisha nin
    Time Stamp: ("'ts1756'", "'ts1759'"), Annotation: ñuka padrino ña rikgrin
