Speaker: hombre 1
  Tier Type: po, Annotations Count: 772
    Time Stamp: ("'ts371'", "'ts372'"), Annotation: kutin shug shishp rishga
    Time Stamp: ("'ts373'", "'ts374'"), Annotation: shug
    Time Stamp: ("'ts375'", "'ts376'"), Annotation: haciendapi chayarinni
    Time Stamp: ("'ts377'", "'ts378'"), Annotation: haciendapi chayapigmi kutin
    Time Stamp: ("'ts379'", "'ts380'"), Annotation: imashtiringa
    Time Stamp: ("'ts381'", "'ts382'"), Annotation: japishpa ña chaypi viñachish
    Time Stamp: ("'ts383'", "'ts384'"), Annotation: kana nin     shinaka
    Time Stamp: ("'ts385'", "'ts386'"), Annotation: shinashalla millonarioma
    Time Stamp: ("'ts387'", "'ts388'"), Annotation: shina ima shina
    Time Stamp: ("'ts389'", "'ts390'"), Annotation: garingaka
    Time Stamp: ("'ts391'", "'ts392'"), Annotation: chi chaypi viñashkapi kutin
    Time Stamp: ("'ts393'", "'ts394'"), Annotation: imag shini chii amugukuna      imashi   shina tukis
    Time Stamp: ("'ts395'", "'ts396'"), Annotation: tuguill tukurish guañurin nin    chay pay  chay guaguaka hacinderu saquirin nin
    Time Stamp: ("'ts399'", "'ts400'"), Annotation: ari chayka chaypi kashka nin
    Time Stamp: ("'ts401'", "'ts402'"), Annotation: alkugukuna
    Time Stamp: ("'ts403'", "'ts404'"), Annotation: millay chayashkanin
    Time Stamp: ("'ts405'", "'ts406'"), Annotation: imashinashkacha destinocha chiak
    Time Stamp: ("'ts407'", "'ts408'"), Annotation: haciendapi charijujpi shina paykunallata kullkikuna maypi waikachin
    Time Stamp: ("'ts409'", "'ts410'"), Annotation: imashina kashpapash
    Time Stamp: ("'ts411'", "'ts412'"), Annotation: chaymi ami tukunaka  tugyashpa  tukurish limpio tukurishkami  nin
    Time Stamp: ("'ts413'", "'ts414'"), Annotation: chaymi
    Time Stamp: ("'ts415'", "'ts416'"), Annotation: payka kutin chay chifichaka safarish tukushpaka riringa
    Time Stamp: ("'ts417'", "'ts418'"), Annotation: chaypi tiarrish dueño propio kutin
    Time Stamp: ("'ts419'", "'ts420'"), Annotation: ila mamama ila taytamsh cutin
    Time Stamp: ("'ts421'", "'ts422'"), Annotation: yana imasha tukushpaga  rishka nin kutinlla chay  guaguata rricungagua
    Time Stamp: ("'ts423'", "'ts424'"), Annotation: chay guaguata rrucunga rrijpimi
    Time Stamp: ("'ts425'", "'ts426'"), Annotation: mashti
    Time Stamp: ("'ts427'", "'ts428'"), Annotation: alkuta kacharigki chi
    Time Stamp: ("'ts429'", "'ts430'"), Annotation: tayta ila mamata allku mashti mikuringa
    Time Stamp: ("'ts431'", "'ts432'"), Annotation: mikushkanga chaymi shina
    Time Stamp: ("'ts433'", "'ts434'"), Annotation: shina tukuririn taytaga
    Time Stamp: ("'ts435'", "'ts436'"), Annotation: kutin paykunaka kutin millonario sakiririn
    Time Stamp: ("'ts437'", "'ts438'"), Annotation: pero ila mama monta pay
    Time Stamp: ("'ts439'", "'ts440'"), Annotation: shina guaguataka shina  lastima
    Time Stamp: ("'ts441'", "'ts442'"), Annotation: charish shina
    Time Stamp: ("'ts445'", "'ts446'"), Annotation: madrastra
