Speaker: simeon
  Tier Type: po, Annotations Count: 1001
    Time Stamp: ("'ts354'", "'ts358'"), Annotation: hay sali jari hay sali jiwa hay sali jipa
    Time Stamp: ("'ts359'", "'ts363'"), Annotation: aqui en el  Chimborazo dice juro hay en Chimborazo dicen kuro kari kipa chashnami
    Time Stamp: ("'ts365'", "'ts366'"), Annotation: haber  amm
    Time Stamp: ("'ts367'", "'ts369'"), Annotation: achikku  niño jovenes
    Time Stamp: ("'ts370'", "'ts371'"), Annotation: ajam wambrapika
    Time Stamp: ("'ts372'", "'ts375'"), Annotation: longo kaypipash wambra nin
    Time Stamp: ("'ts376'", "'ts379'"), Annotation: warmi kan  wambra warmi joven warmi
    Time Stamp: ("'ts381'", "'ts383'"), Annotation: wambra ima kan wambra ari
    Time Stamp: ("'ts385'", "'ts388'"), Annotation: y jari kashpa longo nachu ajan
    Time Stamp: ("'ts389'", "'ts390'"), Annotation: kay chay longo casi na uyani shuk llaktakunapi solo kaypi por que killaypi may  mas Quito ladopi na uyashka mishukuna nishka castellanopi longo
    Time Stamp: ("'ts392'", "'ts398'"), Annotation: na chay na yapa valinchu castellanopi  pero kichwapi nishpa ninma nachu entonces  kaypi igual como
    Time Stamp: ("'ts399'", "'ts403'"), Annotation: karu kashka solo nimoninkichi chaypi nima problema tyan pero castellanopi kambiarishka kan palabra
    Time Stamp: ("'ts405'", "'ts406'"), Annotation: haber cerebro tyanchu
    Time Stamp: ("'ts408'", "'ts410'"), Annotation: ari ñutku chaytapash tyan Cuscupi  ñutku
    Time Stamp: ("'ts411'", "'ts416'"), Annotation: pero ñutko ñutko paykuna ninka ajan  ña kaypi ñutko ñutk0 mjm
    Time Stamp: ("'ts417'", "'ts418'"), Annotation: pan
    Time Stamp: ("'ts420'", "'ts424'"), Annotation: tanda con d nacho  aaa
    Time Stamp: ("'ts426'", "'ts428'"), Annotation: tanda
    Time Stamp: ("'ts429'", "'ts430'"), Annotation: teta pezon
    Time Stamp: ("'ts432'", "'ts434'"), Annotation: chucho ajam
    Time Stamp: ("'ts435'", "'ts436'"), Annotation: puente
    Time Stamp: ("'ts438'", "'ts440'"), Annotation: chaka
    Time Stamp: ("'ts441'", "'ts442'"), Annotation: cuñado
    Time Stamp: ("'ts446'", "'ts448'"), Annotation: ajam  mashaka
    Time Stamp: ("'ts451'", "'ts453'"), Annotation: mashapash
    Time Stamp: ("'ts454'", "'ts457'"), Annotation: bueno chaypash kan yerno nachu
    Time Stamp: ("'ts459'", "'ts460'"), Annotation: y cuñadupash kan cuñado
    Time Stamp: ("'ts466'", "'ts467'"), Annotation: yerno ari
    Time Stamp: ("'ts468'", "'ts469'"), Annotation: warmi turi eso
    Time Stamp: ("'ts471'", "'ts472'"), Annotation: ajan
    Time Stamp: ("'ts473'", "'ts474'"), Annotation: brote
    Time Stamp: ("'ts475'", "'ts476'"), Annotation: brote de planta
    Time Stamp: ("'ts478'", "'ts480'"), Annotation: malki ajam
    Time Stamp: ("'ts481'", "'ts483'"), Annotation: mukmu uyashkangui
    Time Stamp: ("'ts484'", "'ts485'"), Annotation: ajan
    Time Stamp: ("'ts487'", "'ts488'"), Annotation: mukmu
    Time Stamp: ("'ts489'", "'ts490'"), Annotation: eemm ña nirkanchi ñani como bolsa ningapak pero shuk
    Time Stamp: ("'ts491'", "'ts492'"), Annotation: na yapa bolsa  kanchu involtura apamunkapak
