Speaker: Mujer 1 
  Tier Type: po, Annotations Count: 560
    Time Stamp: ('ts773', 'ts774'), Annotation: tal vez 
    Time Stamp: ('ts775', 'ts776'), Annotation: ya hay 
    Time Stamp: ('ts777', 'ts779'), Annotation: dijo 
    Time Stamp: ('ts783', 'ts784'), Annotation: para que 
    Time Stamp: ('ts789', 'ts790'), Annotation: no 
    Time Stamp: ('ts791', 'ts792'), Annotation: mami
    Time Stamp: ('ts793', 'ts794'), Annotation: (............)
    Time Stamp: ('ts795', 'ts796'), Annotation: Calderon 
    Time Stamp: ('ts797', 'ts798'), Annotation: que 
    Time Stamp: ('ts799', 'ts800'), Annotation: desde denantes 
    Time Stamp: ('ts801', 'ts802'), Annotation: desde de mañanita 
    Time Stamp: ('ts803', 'ts804'), Annotation: (,..................................)
    Time Stamp: ('ts805', 'ts807'), Annotation: (..................)
    Time Stamp: ('ts809', 'ts810'), Annotation: otra vez 
    Time Stamp: ('ts811', 'ts812'), Annotation: regrese
    Time Stamp: ('ts814', 'ts816'), Annotation: que dijiste 
    Time Stamp: ('ts817', 'ts818'), Annotation: que traiga 
    Time Stamp: ('ts819', 'ts820'), Annotation: ahora si 
    Time Stamp: ('ts821', 'ts822'), Annotation: traje plata 
    Time Stamp: ('ts823', 'ts824'), Annotation: malo
    Time Stamp: ('ts825', 'ts826'), Annotation: fuera 
    Time Stamp: ('ts827', 'ts828'), Annotation: ya le dije 
    Time Stamp: ('ts829', 'ts830'), Annotation: enton esa
    Time Stamp: ('ts831', 'ts832'), Annotation: esa crema dame trayendo 
    Time Stamp: ('ts833', 'ts834'), Annotation: este
    Time Stamp: ('ts835', 'ts836'), Annotation: (................)
    Time Stamp: ('ts837', 'ts838'), Annotation: deme trayendp 
    Time Stamp: ('ts839', 'ts840'), Annotation: (..............)
    Time Stamp: ('ts841', 'ts842'), Annotation: si vino pues 
    Time Stamp: ('ts843', 'ts844'), Annotation: a las siete de la noche 
    Time Stamp: ('ts845', 'ts846'), Annotation: haiga llegado 
    Time Stamp: ('ts847', 'ts848'), Annotation: pero con mi crema 
    Time Stamp: ('ts849', 'ts850'), Annotation: si llego 
    Time Stamp: ('ts851', 'ts852'), Annotation: tarrde 
    Time Stamp: ('ts853', 'ts854'), Annotation: de ahica 
    Time Stamp: ('ts855', 'ts856'), Annotation: (...................)
    Time Stamp: ('ts857', 'ts858'), Annotation: algo 
    Time Stamp: ('ts859', 'ts860'), Annotation: han da haciendo 
    Time Stamp: ('ts861', 'ts862'), Annotation: algo , pero anda haciendo 
    Time Stamp: ('ts863', 'ts864'), Annotation: (.................)
    Time Stamp: ('ts865', 'ts866'), Annotation: no, estas 
    Time Stamp: ('ts867', 'ts868'), Annotation: andando bien 
    Time Stamp: ('ts869', 'ts871'), Annotation: algooooooo
    Time Stamp: ('ts875', 'ts876'), Annotation: algo 
    Time Stamp: ('ts877', 'ts878'), Annotation: anda dije
