Speaker: Simeon
  Tier Type: po, Annotations Count: 1045
    Time Stamp: ('ts1115', 'ts1117'), Annotation: (asinakun)
    Time Stamp: ('ts1120', 'ts1123'), Annotation: ari
    Time Stamp: ('ts1133', 'ts1134'), Annotation: ari
    Time Stamp: ('ts1160', 'ts1162'), Annotation: shina nin nachu 
    Time Stamp: ('ts1163', 'ts1165'), Annotation: (asinakun)
    Time Stamp: ('ts1167', 'ts1168'), Annotation: ari, ari 
    Time Stamp: ('ts1171', 'ts1172'), Annotation: pero chay horas 
    Time Stamp: ('ts1173', 'ts1174'), Annotation: chay guasipi kausarkangi 
    Time Stamp: ('ts1175', 'ts1176'), Annotation: igual kaypi 
    Time Stamp: ('ts1177', 'ts1178'), Annotation: kay puestopi 
    Time Stamp: ('ts1179', 'ts1180'), Annotation: o ima 
    Time Stamp: ('ts1181', 'ts1182'), Annotation: ima 
    Time Stamp: ('ts1183', 'ts1184'), Annotation: ña gua guarmiguan 
    Time Stamp: ('ts1185', 'ts1186'), Annotation: kausarkangi ña 
    Time Stamp: ('ts1187', 'ts1188'), Annotation: guaguata charirka 
    Time Stamp: ('ts1189', 'ts1190'), Annotation: maypi kausarkankichi 
    Time Stamp: ('ts1191', 'ts1192'), Annotation: kaypi 
    Time Stamp: ('ts1213', 'ts1214'), Annotation: ya
    Time Stamp: ('ts1224', 'ts1225'), Annotation: ari, ari 
    Time Stamp: ('ts1229', 'ts1230'), Annotation: chay trabajuta katirkangi 
    Time Stamp: ('ts1345', 'ts1346'), Annotation: a ya 
    Time Stamp: ('ts1359', 'ts1360'), Annotation: mmmm
    Time Stamp: ('ts1377', 'ts1378'), Annotation: ari, ari 
    Time Stamp: ('ts1381', 'ts1382'), Annotation: cierto 
    Time Stamp: ('ts1385', 'ts1387'), Annotation: (...........)
    Time Stamp: ('ts1390', 'ts1392'), Annotation: guakimbi kayta yalishpa
    Time Stamp: ('ts1393', 'ts1394'), Annotation: shamungapa carruhuan 
    Time Stamp: ('ts1396', 'ts1398'), Annotation: ari
    Time Stamp: ('ts1400', 'ts1402'), Annotation: guakimbi 
    Time Stamp: ('ts1403', 'ts1404'), Annotation: ñukaaa
    Time Stamp: ('ts1405', 'ts1406'), Annotation: bueno centropi kausani
    Time Stamp: ('ts1407', 'ts1408'), Annotation: pero guaka 
    Time Stamp: ('ts1409', 'ts1410'), Annotation: guakimbi kayta yalini
    Time Stamp: ('ts1413', 'ts1414'), Annotation: ha ha
    Time Stamp: ('ts1426', 'ts1428'), Annotation: guakimbi 
    Time Stamp: ('ts1433', 'ts1434'), Annotation: guakimpi 
    Time Stamp: ('ts1435', 'ts1436'), Annotation: guakimpi guakimpi 
    Time Stamp: ('ts1437', 'ts1438'), Annotation: provinciaman rinchi 
    Time Stamp: ('ts1439', 'ts1441'), Annotation: Cotopaxi 
    Time Stamp: ('ts1443', 'ts1445'), Annotation: Imbabura 
    Time Stamp: ('ts1447', 'ts1449'), Annotation: chaypi 
    Time Stamp: ('ts1451', 'ts1452'), Annotation: ari
    Time Stamp: ('ts1453', 'ts1454'), Annotation: chaypi 
    Time Stamp: ('ts1455', 'ts1456'), Annotation: sakirkani uranipi 
    Time Stamp: ('ts1458', 'ts1460'), Annotation: ha ha 
    Time Stamp: ('ts1461', 'ts1462'), Annotation: chimbapura 
    Time Stamp: ('ts1463', 'ts1465'), Annotation: (asin)
    Time Stamp: ('ts1469', 'ts1471'), Annotation: ari
    Time Stamp: ('ts1473', 'ts1474'), Annotation: pero ñaaa
    Time Stamp: ('ts1475', 'ts1476'), Annotation: ña
    Time Stamp: ('ts1477', 'ts1478'), Annotation: rukukash randirkani 
    Time Stamp: ('ts1479', 'ts1480'), Annotation: ñaa
    Time Stamp: ('ts1481', 'ts1482'), Annotation: casi treinta 
    Time Stamp: ('ts1483', 'ts1485'), Annotation: kimsa guata charini chayta 
    Time Stamp: ('ts1486', 'ts1488'), Annotation: punta pero 
    Time Stamp: ('ts1489', 'ts1490'), Annotation: bus
    Time Stamp: ('ts1491', 'ts1492'), Annotation: camioneta 
    Time Stamp: ('ts1493', 'ts1494'), Annotation: maymanbash
    Time Stamp: ('ts1495', 'ts1496'), Annotation: porque ashka purini llagtakunapi 
    Time Stamp: ('ts1497', 'ts1499'), Annotation: urkupi 
    Time Stamp: ('ts1501', 'ts1502'), Annotation: siempre camioneta 
    Time Stamp: ('ts1503', 'ts1504'), Annotation: camion maypapash 
    Time Stamp: ('ts1507', 'ts1508'), Annotation: ari
    Time Stamp: ('ts1513', 'ts1514'), Annotation: shina
    Time Stamp: ('ts1515', 'ts1516'), Annotation: kichuata yachajushpa
    Time Stamp: ('ts1518', 'ts1520'), Annotation: familiakunaguan 
    Time Stamp: ('ts1521', 'ts1522'), Annotation: kausashpa 
    Time Stamp: ('ts1523', 'ts1525'), Annotation: shina grabaciongunata 
    Time Stamp: ('ts1526', 'ts1529'), Annotation: ari, ari
    Time Stamp: ('ts1531', 'ts1532'), Annotation: ari 
    Time Stamp: ('ts1533', 'ts1534'), Annotation: pero mas 
    Time Stamp: ('ts1535', 'ts1536'), Annotation: shug familiakunaguan kausarkani unayta
    Time Stamp: ('ts1537', 'ts1538'), Annotation: shina 
    Time Stamp: ('ts1539', 'ts1540'), Annotation: ñaaaa
    Time Stamp: ('ts1541', 'ts1542'), Annotation: achiguagua ña viñashka 
    Time Stamp: ('ts1543', 'ts1544'), Annotation: ña jatunmi kan chay familiapi 
    Time Stamp: ('ts1545', 'ts1546'), Annotation: ñaaaaaa
    Time Stamp: ('ts1547', 'ts1548'), Annotation: ña casi veinte guata tukun 
    Time Stamp: ('ts1553', 'ts1554'), Annotation: pero ñuka tapuna munarkani 
    Time Stamp: ('ts1555', 'ts1556'), Annotation: kaypi 
    Time Stamp: ('ts1557', 'ts1558'), Annotation: entonces 
    Time Stamp: ('ts1559', 'ts1560'), Annotation: ima horas 
    Time Stamp: ('ts1561', 'ts1562'), Annotation: chay 
    Time Stamp: ('ts1563', 'ts1564'), Annotation: alpa guasi guasichirkangi kaypi 
    Time Stamp: ('ts1565', 'ts1566'), Annotation: nima 
    Time Stamp: ('ts1567', 'ts1568'), Annotation: na tiarka nachu chay 
    Time Stamp: ('ts1569', 'ts1570'), Annotation: kay 
    Time Stamp: ('ts1571', 'ts1573'), Annotation: edificiukuna 
    Time Stamp: ('ts1575', 'ts1579'), Annotation: ima tiarka kaypi 
    Time Stamp: ('ts1584', 'ts1586'), Annotation: bosque 
    Time Stamp: ('ts1587', 'ts1589'), Annotation: None
    Time Stamp: ('ts1591', 'ts1593'), Annotation: None
    Time Stamp: ('ts1594', 'ts1596'), Annotation: ima 
    Time Stamp: ('ts1597', 'ts1598'), Annotation: imaaaaaa
    Time Stamp: ('ts1599', 'ts1600'), Annotation: yura ningi 
    Time Stamp: ('ts1601', 'ts1602'), Annotation: quiru o yura
    Time Stamp: ('ts1604', 'ts1609'), Annotation: yura ima yura 
    Time Stamp: ('ts1610', 'ts1613'), Annotation: eucalipto o shug 
    Time Stamp: ('ts1616', 'ts1618'), Annotation: haciendachu karka
    Time Stamp: ('ts1619', 'ts1620'), Annotation: o pi 
    Time Stamp: ('ts1621', 'ts1622'), Annotation: pi tarpurka shina 
    Time Stamp: ('ts1623', 'ts1624'), Annotation: eucaliptukuna 
    Time Stamp: ('ts1625', 'ts1626'), Annotation: hacienda alpa
    Time Stamp: ('ts1635', 'ts1636'), Annotation: ha ja 
    Time Stamp: ('ts1642', 'ts1644'), Annotation: Vera chu 
    Time Stamp: ('ts1661', 'ts1663'), Annotation: cierto 
    Time Stamp: ('ts1714', 'ts1716'), Annotation: mmmm
    Time Stamp: ('ts1737', 'ts1739'), Annotation: ari, ari 
    Time Stamp: ('ts1761', 'ts1762'), Annotation: chay
    Time Stamp: ('ts1770', 'ts1773'), Annotation: ari ña jundashga
    Time Stamp: ('ts1785', 'ts1787'), Annotation: ari, ari 
    Time Stamp: ('ts1789', 'ts1790'), Annotation: alima 
    Time Stamp: ('ts1793', 'ts1794'), Annotation: pero 
    Time Stamp: ('ts1795', 'ts1796'), Annotation: utka 
    Time Stamp: ('ts1797', 'ts1798'), Annotation: utka jundarka shina 
    Time Stamp: ('ts1800', 'ts1802'), Annotation: porque sa sa sa
    Time Stamp: ('ts1803', 'ts1804'), Annotation: sachamanta shina 
    Time Stamp: ('ts1805', 'ts1806'), Annotation: kunankaman ña 
    Time Stamp: ('ts1807', 'ts1808'), Annotation: tukuy 
    Time Stamp: ('ts1809', 'ts1811'), Annotation: casi
    Time Stamp: ('ts1831', 'ts1832'), Annotation: mmmm
    Time Stamp: ('ts1846', 'ts1848'), Annotation: alpata maskashpa
    Time Stamp: ('ts1849', 'ts1851'), Annotation: imauras tukurirka 
    Time Stamp: ('ts1852', 'ts1855'), Annotation: chay ma ña 
    Time Stamp: ('ts1861', 'ts1862'), Annotation: a punta gindikuna 
    Time Stamp: ('ts1863', 'ts1864'), Annotation: fiti
    Time Stamp: ('ts1871', 'ts1873'), Annotation: ari
    Time Stamp: ('ts1881', 'ts1882'), Annotation: ha ja 
    Time Stamp: ('ts1913', 'ts1915'), Annotation: ña
    Time Stamp: ('ts1917', 'ts1918'), Annotation: ari
    Time Stamp: ('ts1919', 'ts1921'), Annotation: (asinakun)
    Time Stamp: ('ts1922', 'ts1924'), Annotation: shina tukan 
    Time Stamp: ('ts1925', 'ts1926'), Annotation: pero 
    Time Stamp: ('ts1927', 'ts1928'), Annotation: guakinkunan munaga jipaman 
    Time Stamp: ('ts1929', 'ts1930'), Annotation: ñuka yani 
    Time Stamp: ('ts1932', 'ts1934'), Annotation: jipaman munanga kutin 
    Time Stamp: ('ts1935', 'ts1936'), Annotation: eeeeee
    Time Stamp: ('ts1937', 'ts1938'), Annotation: nose 
    Time Stamp: ('ts1939', 'ts1940'), Annotation: guagu
    Time Stamp: ('ts1941', 'ts1942'), Annotation: jovenkuna 
    Time Stamp: ('ts1943', 'ts1944'), Annotation: kunan uras 
    Time Stamp: ('ts1945', 'ts1946'), Annotation: chay 
    Time Stamp: ('ts1947', 'ts1948'), Annotation: identidad 
    Time Stamp: ('ts1949', 'ts1950'), Annotation: shina nishka munan 
    Time Stamp: ('ts1951', 'ts1952'), Annotation: guakinkuna 
    Time Stamp: ('ts1980', 'ts1982'), Annotation: ali kaman 
    Time Stamp: ('ts1985', 'ts1986'), Annotation: ñuka rikurini 
